,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
259,Qaqortoq,75,GL,1578429329,71,60.72,-46.03,8.6,4.7
260,Anloga,25,GH,1578429330,69,5.79,0.9,82.4,5.82
261,Tabou,0,CI,1578429331,84,4.42,-7.36,75.6,3.65
262,Chapais,90,CA,1578429332,78,49.78,-74.86,12.2,11.41
263,Praya,40,ID,1578429087,94,-8.71,116.27,78.8,2.24
264,Zavetnoye,100,RU,1578429334,96,47.12,43.89,33.84,11.16
265,Borzya,0,RU,1578429336,96,50.39,116.53,-7.92,2.33
266,Iskateley,9,RU,1578429337,96,67.68,53.15,2.12,9.22
267,Longniddry,75,GB,1578429338,87,55.98,-2.9,54.0,24.16
268,Port Hedland,75,AU,1578429339,83,-20.31,118.58,78.8,21.92
269,Cayenne,90,GF,1578429340,78,4.94,-52.33,82.4,10.29
270,Lebu,100,ET,1578429342,94,8.96,38.73,53.76,1.68
271,High Prairie,100,CA,1578429329,96,55.43,-116.48,2.43,5.41
272,Severo-Kurilsk,58,RU,1578429344,88,50.68,156.12,18.82,10.38
273,Makokou,65,GA,1578429345,75,0.56,12.85,74.46,2.73
274,Victoria,75,BN,1578429114,88,5.28,115.24,80.6,7.45
275,Muisne,75,EC,1578429266,79,0.61,-80.02,84.2,5.82
276,Cherskiy,0,RU,1578429184,76,68.75,161.3,-19.43,9.06
277,Codrington,58,AU,1578429349,88,-28.95,153.24,73.99,4.7
278,Buraydah,0,SA,1578429351,67,26.33,43.97,60.8,14.99
279,Miraflores,20,PE,1578429352,45,-16.39,-71.52,66.2,16.11
280,Miyako,75,JP,1578429353,71,33.63,130.94,57.2,14.99
281,Mocuba,100,MZ,1578429354,95,-16.84,36.99,75.24,0.58
282,Plettenberg Bay,93,ZA,1578429356,83,-34.05,23.37,69.6,8.25
283,Suntar,100,RU,1578429357,93,62.16,117.65,17.65,8.23
284,Shimoda,90,JP,1578429358,100,34.7,138.93,50.0,2.24
285,Waipawa,0,NZ,1578429359,51,-39.94,176.59,64.99,6.22
286,Hami,0,CN,1578429360,53,42.84,93.51,15.13,2.73
287,Navirai,100,BR,1578429230,88,-23.07,-54.19,79.03,1.23
288,Sergeyevka,97,KZ,1578429363,96,53.88,67.42,12.74,1.52
289,Esmeraldas,75,BR,1578429364,65,-19.76,-44.31,87.8,8.05
290,Tyup,100,KG,1578429365,48,42.73,78.36,14.68,4.25
291,Toora-Khem,2,RU,1578429367,95,52.47,96.11,-9.83,0.09
292,Lahij,91,YE,1578429368,76,13.06,44.88,77.16,9.17
293,Tornio,90,FI,1578429369,100,61.12,27.27,39.0,12.75
294,La Libertad,20,PE,1578429370,45,-16.38,-71.56,66.2,16.11
295,Manacapuru,40,BR,1578429371,49,-3.3,-60.62,93.2,6.93
296,Neuquen,0,AR,1578429372,18,-38.95,-68.06,90.0,14.99
297,Mizdah,0,LY,1578429374,79,31.45,12.98,43.56,3.96
298,Axim,25,GH,1578429375,72,4.87,-2.24,77.59,4.99
299,Capiibary,74,PY,1578429376,50,-24.8,-56.03,87.42,5.91
300,Hailar,100,CN,1578429377,100,49.2,119.7,-6.79,5.41
301,Sobolevo,66,RU,1578429378,95,54.43,31.9,29.91,8.79
302,Champerico,75,MX,1578429379,54,16.38,-93.6,78.8,9.17
303,Biloela,6,AU,1578429381,76,-24.4,150.51,69.51,4.27
304,LaBelle,75,US,1578429264,49,26.76,-81.44,73.99,8.05
305,Camalu,0,MX,1578429383,15,30.85,-116.07,72.07,3.78
306,Tautira,40,PF,1578429384,74,-17.73,-149.15,84.2,3.36
307,Sarh,0,TD,1578429385,50,9.14,18.39,75.2,3.49
308,Aripuana,18,BR,1578429386,63,-9.17,-60.63,89.26,2.01
309,Klaksvik,98,FO,1578429387,69,62.23,-6.59,39.2,38.03
310,Sao Filipe,100,CV,1578429389,75,14.9,-24.5,68.31,23.91
311,Xinyu,82,CN,1578429390,79,27.8,114.93,44.49,7.99
312,Salalah,0,OM,1578429391,47,17.01,54.1,78.8,10.29
313,Nanortalik,100,GL,1578429392,87,60.14,-45.24,24.4,24.43
314,Ratnapura,26,IN,1578429393,79,17.9,77.63,69.58,10.87
315,Nantucket,1,US,1578429394,55,41.28,-70.1,41.0,4.7
316,Northam,0,AU,1578429395,88,-31.65,116.67,64.0,4.7
317,Moussoro,1,TD,1578429397,12,13.64,16.49,72.41,13.89
318,Saucillo,24,MX,1578429398,20,28.03,-105.29,60.87,5.37
319,Tirumullaivasal,79,IN,1578429399,77,11.24,79.84,79.07,14.97
320,Santa Fe,0,AR,1578429400,19,-31.62,-60.7,91.0,5.99
321,Markova,77,RU,1578429401,85,52.21,104.21,10.4,6.71
322,Victoria,75,BN,1578429114,88,5.28,115.24,80.6,7.45
323,Touros,75,BR,1578429403,70,-5.2,-35.46,84.2,16.11
324,Chililabombwe,100,ZM,1578429405,95,-12.37,27.84,65.3,3.33
325,Namibe,100,AO,1578429406,81,-15.19,12.15,73.42,3.11
326,Mitsamiouli,50,KM,1578429407,73,-11.38,43.28,83.03,1.83
327,Mattru,100,SL,1578429408,79,7.62,-11.83,74.77,3.67
328,Lisakovsk,99,KZ,1578429409,95,52.55,62.49,12.54,2.75
329,Rzhyshchiv,0,UA,1578429410,92,49.97,31.05,23.0,1.9
330,Dubrovka,90,RU,1578429412,86,59.85,30.93,39.2,11.18
331,Videira,32,BR,1578429413,95,-27.01,-51.15,72.25,1.34
332,Kalmunai,81,LK,1578429414,79,7.42,81.82,81.01,20.4
333,Tazmalt,40,DZ,1578429159,87,36.39,4.4,46.4,4.7
334,Ivybridge,100,GB,1578429416,98,50.39,-3.92,55.99,18.61
335,Turkan,69,AF,1578429417,83,35.6,68.92,9.57,3.13
336,Belmonte,0,PT,1578429418,22,40.36,-7.35,46.0,1.99
337,Yertsevo,100,RU,1578429419,96,60.8,40.09,28.17,7.74
338,Pangkalanbuun,100,ID,1578429421,96,-2.68,111.62,74.59,1.86
339,Auce,74,LV,1578429422,86,56.47,22.9,34.39,12.53
340,Eagle Pass,5,MX,1578429407,37,28.71,-100.5,68.0,6.93
341,Ghorawal,76,IN,1578429424,58,24.75,82.78,57.52,2.93
342,Harindanga,47,IN,1578429425,93,22.04,88.32,51.8,3.22
343,Plainview,1,US,1578429224,10,34.18,-101.71,64.0,23.04
344,Barcarena,75,BR,1578429427,88,-1.51,-48.62,77.0,6.93
345,Rio Grande,20,BR,1578429160,40,-32.03,-52.1,87.8,10.29
346,Fairbanks,90,US,1578429228,74,64.84,-147.72,-23.01,0.92
347,Chumikan,100,RU,1578429431,80,54.72,135.31,6.98,7.52
348,Pangody,62,RU,1578429432,97,65.85,74.49,-4.77,10.98
349,Upernavik,100,GL,1578429433,75,72.79,-56.15,-13.02,3.8
350,Bambous Virieux,75,MU,1578429434,88,-20.34,57.76,78.8,1.12
351,Orodara,49,BF,1578429436,34,10.98,-4.92,78.8,6.93
352,Acari,96,BR,1578429437,42,-6.44,-36.64,86.54,15.03
353,Yeppoon,40,AU,1578429438,83,-23.13,150.74,73.4,8.05
354,Biak,100,ID,1578429439,74,-0.91,122.88,81.66,11.5
355,Te Anau,100,NZ,1578429440,84,-45.41,167.72,44.22,2.19
356,Jishou,99,CN,1578429441,87,28.26,109.7,41.47,3.8
357,Katsuura,75,JP,1578429443,82,33.93,134.5,64.4,24.16
358,Faanui,10,PF,1578429444,80,-16.48,-151.75,81.57,17.98
359,Cabo San Lucas,5,MX,1578429373,57,22.89,-109.91,82.0,9.17
360,Wanning,75,AT,1578429446,93,48.64,13.53,37.99,5.82
361,Byron Bay,26,AU,1578429447,94,-28.65,153.62,75.0,2.19
362,San Patricio,0,PY,1578429448,29,-26.98,-56.83,91.15,6.46
363,Tibacuy,20,CO,1578429449,52,4.35,-74.45,69.8,12.75
364,Vikhorevka,24,RU,1578429451,92,56.12,101.17,5.0,2.24
365,Dhidhdhoo,71,MV,1578429177,75,6.88,73.1,81.54,4.5
366,Uppsala,100,SE,1578429453,93,59.86,17.64,42.01,14.99
367,Aksaray,75,TR,1578429454,86,38.37,34.03,41.0,5.82
368,Havoysund,100,NO,1578429455,79,71.0,24.66,35.6,10.29
369,Logansport,40,US,1578429456,52,40.75,-86.36,45.0,13.87
370,Hay River,90,CA,1578429458,75,60.82,-115.79,-18.4,1.63
371,Teguldet,99,RU,1578429459,96,57.31,88.17,13.26,5.08
372,Sola,20,TZ,1578429460,84,-3.17,33.8,67.08,0.49
373,Ormara,1,PK,1578429461,40,25.21,64.64,70.83,20.51
374,North Bend,90,US,1578429316,87,43.41,-124.22,52.0,10.29
375,Abha,40,SA,1578429463,87,18.22,42.5,59.0,17.22
376,Hambantota,100,LK,1578429465,78,6.12,81.12,80.06,21.77
377,Honningsvag,75,NO,1578429466,93,70.98,25.97,35.6,17.22
378,Sakaiminato,75,JP,1578429467,87,35.55,133.23,59.0,8.05
379,Winchester,90,GB,1578429468,93,51.06,-1.31,55.0,13.87
380,Ramshir,0,IR,1578429469,81,30.89,49.41,51.8,1.07
381,Sayat,0,TM,1578429470,43,38.78,63.88,37.4,9.17
382,Phonhong,37,LA,1578429472,100,18.5,102.42,68.0,2.24
383,Zorritos,40,PE,1578429473,33,-3.68,-80.68,89.6,10.29
384,Timmins,90,CA,1578429474,92,48.48,-81.33,26.6,5.82
385,Peniche,0,PT,1578429475,93,39.36,-9.38,51.01,2.24
386,Berlevag,75,NO,1578429476,92,70.86,29.09,33.8,18.34
387,Bembereke,33,BJ,1578429477,26,10.23,2.66,78.03,4.79
388,Geraldton,75,CA,1578429478,66,49.72,-86.95,10.4,16.11
389,Vao,100,EE,1578429480,82,59.1,26.19,38.34,13.85
390,Constantine,40,DZ,1578429426,93,36.36,6.61,37.4,2.24
391,Masumbwe,23,TZ,1578429482,94,-3.65,32.16,64.92,3.47
392,Namatanai,100,PG,1578429482,74,-3.66,152.44,83.66,5.17
393,Zyryanka,3,RU,1578429263,81,65.73,150.89,-22.52,5.3
394,Gamba,0,CN,1578429485,66,28.28,88.52,10.6,3.44
395,Sioux Lookout,75,CA,1578429487,70,50.1,-91.92,1.4,16.11
396,Grand Gaube,75,MU,1578429488,88,-20.01,57.66,78.8,1.12
397,Bar Harbor,1,US,1578429489,68,44.39,-68.2,32.0,5.82
398,Promyshlennovskiy,90,RU,1578429490,92,55.48,86.2,14.0,4.47
399,Storozhevaya,100,RU,1578429491,77,43.89,41.46,30.38,0.04
400,Bara,0,NG,1578429492,30,10.41,10.6,72.93,9.17
401,Lagoa,0,PT,1578429319,87,37.14,-8.45,54.0,5.82
402,Chernyakhovsk,0,RU,1578429494,89,54.64,21.81,30.52,7.87
403,Hovd,100,NO,1578429496,61,63.83,10.7,48.0,24.16
404,Shiyan,100,CN,1578429497,91,32.65,110.78,35.56,5.35
405,Itarema,78,BR,1578429372,76,-2.92,-39.92,79.65,6.42
406,Verkh-Usugli,0,RU,1578429499,94,52.7,115.17,-5.44,2.66
407,Bongouanou,8,CI,1578429500,33,6.65,-4.2,77.43,3.8
408,Port Blair,75,IN,1578429501,77,11.67,92.75,79.48,11.9
409,Dwarka,75,IN,1578429502,87,28.58,77.04,53.6,5.82
410,Port Hardy,75,CA,1578429504,93,50.7,-127.42,44.6,18.34
411,Shirokiy,81,RU,1578429505,94,53.87,39.17,23.14,7.02
412,Naze,100,NG,1578429506,66,5.43,7.07,78.49,6.89
413,Vilhena,40,BR,1578429436,78,-12.74,-60.15,80.6,4.7
414,Keelung,20,TW,1578429508,82,25.13,121.74,69.01,2.24
415,Newport,90,GB,1578429510,93,51.59,-3.0,55.99,9.17
416,Kaniama,100,CD,1578429511,93,-7.57,24.18,67.6,1.92
417,Sosnogorsk,100,RU,1578429512,95,63.59,53.93,13.17,5.91
418,Inverness,75,GB,1578429513,87,57.48,-4.23,53.01,21.92
419,Doka,10,SD,1578429514,35,13.52,35.76,74.86,12.73
420,Ogaminana,98,NG,1578429515,28,7.6,6.2,81.73,1.3
421,General Roca,0,AR,1578429516,18,-39.03,-67.58,87.8,14.99
422,Labuhan,100,ID,1578429518,83,-2.54,115.51,73.8,0.92
423,Fort Nelson,75,CA,1578429519,74,58.81,-122.69,-22.0,2.1
424,Damietta,40,EG,1578429520,66,31.42,31.81,53.6,17.22
425,Pueblo Nuevo,30,AR,1578429521,14,-32.93,-68.73,91.4,8.05
426,Kikwit,100,CD,1578429522,94,-5.04,18.82,71.62,2.21
427,Zambezi,89,ZM,1578429523,91,-13.55,23.12,66.34,3.71
428,Matagami,20,NG,1578429525,32,9.67,8.4,68.0,6.93
429,Kudahuvadhoo,23,MV,1578429526,79,2.67,72.89,82.0,11.39
430,Merrill,1,US,1578429527,45,42.03,-121.6,48.99,3.36
431,Chimbarongo,33,CL,1578429528,28,-34.71,-71.04,84.2,9.17
432,Kenai,90,US,1578429344,83,60.55,-151.26,-5.01,6.93
433,Adrar,50,DZ,1578429530,32,27.87,-0.29,55.4,10.29
434,Yarovoye,100,RU,1578429531,96,52.92,78.56,11.8,4.25
435,Mudon,54,MM,1578429533,62,16.26,97.73,73.9,2.28
436,Pitimbu,75,BR,1578429534,83,-7.47,-34.81,82.4,13.87
437,Mbandaka,68,CD,1578429535,50,0.05,18.26,79.61,3.67
438,Matamoros,40,US,1578429536,53,25.87,-97.51,71.6,17.22
439,Airai,73,TL,1578429537,78,-8.93,125.41,66.96,4.29
440,Brae,100,GB,1578429538,81,60.4,-1.35,50.0,40.26
441,Chivilcoy,7,AR,1578429539,40,-34.9,-60.02,84.99,4.0
442,Tateyama,100,JP,1578429541,62,36.66,137.31,57.99,7.0
443,Sangre Grande,40,TT,1578429542,58,10.59,-61.13,84.99,10.29
444,San Policarpo,100,PH,1578429543,80,12.18,125.51,79.11,12.62
445,Uzunovo,0,BG,1578429544,58,41.84,25.1,30.2,3.36
446,Miandrivazo,71,MG,1578429545,84,-19.53,45.46,77.61,4.29
447,Parakou,63,BJ,1578429547,27,9.34,2.63,78.87,4.29
448,Carutapera,65,BR,1578429548,74,-1.2,-46.02,82.04,10.0
449,Mecca,0,SA,1578429396,64,21.43,39.83,64.06,3.94
450,Kropotkin,100,RU,1578429550,81,45.43,40.58,35.01,7.76
451,Diffa,20,NE,1578429551,16,13.32,12.61,70.43,11.05
452,Maningrida,100,AU,1578429552,79,-12.05,134.23,76.46,7.23
453,Thunder Bay,75,CA,1578429300,61,48.41,-89.26,14.0,18.34
454,Leirvik,75,NO,1578429554,93,59.78,5.5,48.2,31.09
455,Foumban,88,CM,1578429556,36,5.73,10.9,74.3,3.24
456,Kisangani,60,CD,1578429557,88,0.52,25.21,75.2,2.06
457,San Luis,32,AR,1578429558,19,-33.3,-66.34,91.47,16.51
458,Zarichne,99,UA,1578429559,84,49.02,37.94,26.04,10.56
459,Syracuse,75,US,1578429344,69,43.05,-76.15,37.0,3.36
460,Umm Lajj,0,SA,1578429561,56,25.02,37.27,55.74,6.42
461,Leo,33,BF,1578429563,29,11.1,-2.1,77.88,5.28
462,Belen,1,US,1578429564,24,34.66,-106.78,51.01,1.34
463,Ganzhou,13,CN,1578429565,92,25.86,114.93,44.51,3.96
464,Ballina,75,IE,1578429566,76,54.11,-9.15,50.0,23.04
465,Ketchikan,1,US,1578429567,74,55.34,-131.65,28.4,11.41
466,Marigot,20,HT,1578429568,51,18.23,-72.32,86.0,10.29
467,Bilma,33,NE,1578429569,24,18.69,12.92,58.17,11.3
468,Lazaro Cardenas,40,MX,1578429570,16,28.39,-105.62,64.99,9.17
469,Yar-Sale,23,RU,1578429572,86,66.83,70.83,0.86,7.49
470,Sorong,100,ID,1578429573,98,-0.86,131.25,74.26,1.88
471,Shizuishan,0,CN,1578429574,71,39.02,106.36,18.21,3.11
472,Camacha,40,PT,1578429575,63,33.08,-16.33,62.6,9.17
473,Vagur,95,FO,1578429576,69,61.47,-6.81,41.29,45.97
474,Havre-Saint-Pierre,90,CA,1578429577,85,50.23,-63.6,12.2,2.24
475,Coahuayana,47,MX,1578429579,24,18.62,-100.35,90.86,4.05
476,Marienburg,66,DE,1578429580,81,52.12,9.98,44.6,8.05
477,Killybegs,90,IE,1578429581,76,54.63,-8.45,51.8,35.57
478,Monroe,90,US,1578429582,35,41.91,-83.4,43.0,11.41
479,Gizo,40,IL,1578429483,58,31.8,34.94,53.6,13.87
480,Sao Jose da Coroa Grande,0,BR,1578429584,69,-8.9,-35.15,80.98,12.68
481,Itapirapua,100,BR,1578429585,94,-15.82,-50.61,77.29,2.55
482,Vrangel,100,RU,1578429587,89,42.73,133.08,31.28,32.41
483,Ilinge,100,ZA,1578429588,84,-31.98,27.04,66.06,4.94
484,Atambua,72,ID,1578429589,86,-9.11,124.89,74.64,2.98
485,Scranton,90,US,1578429534,51,41.41,-75.66,37.99,5.3
486,Taltal,0,CL,1578429591,67,-25.41,-70.49,68.27,6.51
487,Anqing,0,CN,1578429592,77,30.51,117.04,37.63,5.82
488,Falmouth,75,GB,1578429593,93,50.16,-5.07,55.0,20.8
489,Hamilton,75,CA,1578429447,64,43.26,-79.87,42.01,13.87
490,Fallon,75,US,1578429596,58,46.84,-105.12,27.0,8.05
491,Mulege,64,MX,1578429597,46,26.88,-111.98,67.86,13.78
492,Kudat,75,MY,1578429598,88,6.89,116.84,80.6,4.7
493,Nurota,90,UZ,1578429599,52,40.56,65.69,35.6,4.7
494,Weiden,20,DE,1578429600,100,49.81,7.3,39.2,9.17
495,Redmond,20,US,1578429416,71,47.67,-122.12,55.0,13.87
496,Conway,1,US,1578429603,24,35.09,-92.44,60.01,9.17
497,Atar,0,MR,1578429604,13,20.52,-13.05,54.99,11.52
498,Nishihara,90,JP,1578429605,100,35.74,139.53,43.0,1.9
499,Rosetta,60,EG,1578429606,71,31.4,30.42,57.67,24.96
500,Dharchula,100,IN,1578429607,99,29.85,80.53,28.8,5.77
501,Pacific Grove,1,US,1578429446,50,36.62,-121.92,61.0,6.93
502,Bulgan,0,MN,1578429610,74,48.81,103.53,-4.97,2.15
503,Amapa,90,HN,1578429611,94,15.09,-87.97,73.99,2.24
504,Vaitape,10,PF,1578429612,80,-16.52,-151.75,81.57,17.98
505,Krasnyy Chikoy,38,RU,1578429613,98,50.36,108.75,-7.53,1.7
506,Puerto Ayacucho,2,CO,1578429614,74,5.66,-67.63,82.4,5.82
507,Chifeng,33,CN,1578429615,58,42.27,118.96,15.21,13.94
508,Muzhi,85,RU,1578429616,81,65.4,64.7,5.68,4.85
509,Riyadh,0,SA,1578429618,62,24.63,46.72,53.6,3.36
510,Kaeo,2,NZ,1578429619,92,-35.1,173.78,64.0,5.44
511,Ciudad Vieja,75,GT,1578429620,56,14.53,-90.76,87.8,16.11
512,Gimli,100,CA,1578429607,73,50.63,-96.99,1.99,5.99
513,Traralgon,100,AU,1578429622,93,-38.19,146.54,63.0,0.74
514,Avera,1,US,1578429623,41,33.19,-82.53,66.2,13.87
515,Plopis,0,RO,1578429625,92,47.13,22.68,21.2,6.93
516,Basco,1,US,1578429626,45,40.33,-91.2,44.01,13.87
517,Bubaque,2,GW,1578429627,61,11.28,-15.83,77.59,13.96
518,Muskogee,1,US,1578429628,22,35.75,-95.37,61.0,3.36
519,Preobrazheniye,100,RU,1578429629,84,42.9,133.91,25.25,9.53
520,Marawi,100,PH,1578429630,92,8.0,124.29,72.0,7.0
